neg,neu,pos,compound
0.0,0.767,0.233,0.5499
0.237,0.443,0.32,0.3958
0.336,0.664,0.0,-0.9126
0.0,0.323,0.677,0.6369
0.104,0.827,0.069,-0.6209
0.306,0.694,0.0,-0.296
0.0,1.0,0.0,0.0
0.371,0.629,0.0,-0.6486
0.0,1.0,0.0,0.0
0.306,0.694,0.0,-0.296
0.0,0.843,0.157,0.8766
0.312,0.688,0.0,-0.8848
0.0,0.0,0.0,0.0
0.037,0.907,0.056,0.204
0.061,0.778,0.161,0.6808
0.26,0.512,0.228,-0.2006
0.16,0.701,0.138,-0.4001
0.179,0.739,0.082,-0.782
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.169,0.831,0.0,-0.7078
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.12,0.88,0.0,-0.5256
0.145,0.855,0.0,-0.8847
0.065,0.935,0.0,-0.1027
0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.4404
0.0,0.748,0.252,0.4019
0.097,0.794,0.108,0.0772
0.097,0.794,0.108,0.0772
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.087,0.888,0.025,-0.5277
0.11,0.89,0.0,-0.5719
0.0,1.0,0.0,0.0
0.186,0.814,0.0,-0.6249
0.138,0.692,0.17,0.128
0.026,0.95,0.025,-0.0147
0.0,1.0,0.0,0.0
0.395,0.501,0.104,-0.9491
0.077,0.923,0.0,-0.5994
0.0,1.0,0.0,0.0
0.238,0.665,0.098,-0.8558
0.0,1.0,0.0,0.0
0.083,0.748,0.169,0.722
0.0,1.0,0.0,0.0
0.213,0.787,0.0,-0.7359
0.0,0.842,0.158,0.4939
0.149,0.794,0.057,-0.6909
0.132,0.744,0.124,-0.0534
0.149,0.777,0.074,-0.2127
0.132,0.817,0.051,-0.4753
0.0,1.0,0.0,0.0
0.121,0.798,0.081,-0.2887
0.221,0.622,0.158,-0.081
0.0,1.0,0.0,0.0
0.141,0.766,0.093,-0.296
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.355,0.645,0.0,-0.296
0.0,0.936,0.064,0.2263
0.095,0.905,0.0,-0.4717
0.0,1.0,0.0,0.0
0.231,0.769,0.0,-0.92
0.0,0.378,0.622,0.5095
0.083,0.726,0.191,0.5106
0.108,0.82,0.072,-0.2992
0.2,0.713,0.087,-0.8018
0.0,0.778,0.222,0.7177
0.0,1.0,0.0,0.0
0.024,0.938,0.038,0.4176
0.142,0.813,0.045,-0.7667
0.235,0.765,0.0,-0.967
0.112,0.888,0.0,-0.7876
0.161,0.733,0.106,-0.128
0.0,0.901,0.099,0.509
0.092,0.908,0.0,-0.8615
0.055,0.846,0.099,0.6709
0.0,1.0,0.0,0.0
0.209,0.791,0.0,-0.8969
0.066,0.884,0.05,-0.2359
0.267,0.733,0.0,-0.7351
0.186,0.814,0.0,-0.8625
0.186,0.807,0.006,-0.9859
0.0,1.0,0.0,0.0
0.148,0.741,0.112,-0.2713
0.265,0.735,0.0,-0.9187
0.068,0.871,0.061,-0.601
0.115,0.832,0.053,-0.4404
0.051,0.949,0.0,-0.4215
0.037,0.902,0.062,0.128
0.0,1.0,0.0,0.0
0.047,0.908,0.045,-0.0258
0.113,0.887,0.0,-0.6697
0.355,0.645,0.0,-0.0258
0.0,0.591,0.409,0.8657
0.0,0.909,0.091,0.0772
0.0,0.0,1.0,0.4404
0.152,0.778,0.07,-0.8138
0.0,0.932,0.068,0.3612
0.0,0.0,1.0,0.4215
0.09,0.698,0.213,0.8819
0.091,0.704,0.205,0.7808
0.0,0.937,0.063,0.3182
0.046,0.911,0.044,-0.0274
0.0,1.0,0.0,0.0
0.0,0.928,0.072,0.4678
0.0,1.0,0.0,0.0
0.0,0.741,0.259,0.5927
0.198,0.753,0.05,-0.8173
0.0,0.822,0.178,0.7351
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.867,0.133,0.3182
0.158,0.667,0.175,0.0507
0.0,0.58,0.42,0.4404
0.0,0.911,0.089,0.2411
0.119,0.881,0.0,-0.6369
0.0,0.731,0.269,0.7906
0.0,0.256,0.744,0.4404
0.038,0.836,0.126,0.5164
0.0,0.349,0.651,0.6801
0.0,0.192,0.808,0.6369
0.0,0.685,0.315,0.7845
0.0,1.0,0.0,0.0
0.069,0.659,0.272,0.7783
0.0,0.0,1.0,0.4404
0.0,0.978,0.022,0.0772
0.193,0.807,0.0,-0.4359
0.0,0.821,0.179,0.6124
0.119,0.769,0.112,-0.0516
0.104,0.685,0.211,0.3945
0.479,0.521,0.0,-0.6798
0.198,0.691,0.11,-0.4659
0.0,0.391,0.609,0.9097
0.0,0.635,0.365,0.3182
0.0,0.0,1.0,0.6249
0.0,0.75,0.25,0.6887
0.0,1.0,0.0,0.0
0.0,0.238,0.762,0.7506
0.0,0.862,0.138,0.2609
0.0,1.0,0.0,0.0
0.0,0.58,0.42,0.4404
0.0,0.769,0.231,0.4588
0.0,0.662,0.338,0.6249
0.0,0.719,0.281,0.2382
0.0,0.0,1.0,0.5106
0.0,1.0,0.0,0.0
0.0,0.783,0.217,0.3612
0.0,0.744,0.256,0.4754
0.0,0.479,0.521,0.868
0.0,1.0,0.0,0.0
0.11,0.6,0.29,0.5574
0.0,0.745,0.255,0.6249
0.0,0.583,0.417,0.8759
0.0,0.25,0.75,0.4588
0.0,0.0,1.0,0.4939
0.0,0.513,0.487,0.8591
0.0,0.765,0.235,0.9261
0.0,0.85,0.15,0.802
0.0,0.709,0.291,0.7125
0.0,0.256,0.744,0.4404
0.035,0.803,0.162,0.8439
0.256,0.551,0.193,-0.0935
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.819,0.181,0.4767
0.042,0.757,0.201,0.9252
0.0,0.922,0.078,0.2382
0.0,1.0,0.0,0.0
0.0,0.286,0.714,0.3612
0.0,0.58,0.42,0.4404
0.0,0.564,0.436,0.4754
0.0,0.551,0.449,0.8467
0.0,0.0,1.0,0.3612
0.0,0.408,0.592,0.4404
0.0,1.0,0.0,0.0
0.0,0.423,0.577,0.6249
0.0,0.81,0.19,0.7056
0.0,1.0,0.0,0.0
0.0,0.184,0.816,0.8715
0.0,0.717,0.283,0.836
0.0,0.851,0.149,0.4215
0.0,0.731,0.269,0.7096
0.0,0.51,0.49,0.8614
0.0,0.672,0.328,0.5994
0.193,0.715,0.092,-0.7128
0.094,0.578,0.329,0.7417
0.0,0.391,0.609,0.8316
0.0,0.661,0.339,0.802
0.0,0.7,0.3,0.5927
0.0,0.449,0.551,0.8617
0.0,0.408,0.592,0.4404
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.698,0.302,0.5994
0.0,0.875,0.125,0.743
0.0,0.0,1.0,0.5994
0.0,0.192,0.808,0.6369
0.0,0.726,0.274,0.9515
0.0,0.476,0.524,0.765
0.0,0.615,0.385,0.9398
0.0,0.0,1.0,0.9274
0.0,0.445,0.555,0.8744
0.0,0.408,0.592,0.4404
0.0,0.263,0.737,0.4215
0.0,0.379,0.621,0.9099
0.0,0.208,0.792,0.5859
0.0,0.388,0.612,0.9347
0.0,0.623,0.377,0.8832
0.0,0.244,0.756,0.4754
0.0,0.286,0.714,0.3612
0.0,1.0,0.0,0.0
0.0,0.58,0.42,0.7243
0.0,0.196,0.804,0.6249
0.0,1.0,0.0,0.0
0.0,0.4,0.6,0.6697
0.0,0.323,0.677,0.6369
0.0,0.0,1.0,0.4215
0.083,0.661,0.256,0.7177
0.0,0.238,0.762,0.4927
0.0,0.515,0.485,0.8854
0.0,0.633,0.367,0.4404
0.0,0.0,1.0,0.6249
0.0,0.455,0.545,0.5574
0.0,0.648,0.352,0.5859
0.0,0.23,0.77,0.7717
0.0,0.417,0.583,0.9468
0.0,0.805,0.195,0.4404
0.0,0.0,1.0,0.6249
0.0,0.606,0.394,0.893
0.0,0.667,0.333,0.6696
0.0,0.192,0.808,0.6369
0.0,1.0,0.0,0.0
0.0,0.652,0.348,0.9432
0.0,0.379,0.621,0.9098
0.0,0.632,0.368,0.9789
0.0,0.0,1.0,0.4215
0.0,0.0,1.0,0.5994
0.0,0.192,0.808,0.6369
0.0,0.185,0.815,0.659
0.0,0.333,0.667,0.8402
0.086,0.639,0.275,0.7783
0.0,0.424,0.576,0.6213
0.0,1.0,0.0,0.0
0.0,0.659,0.341,0.7353
0.0,0.496,0.504,0.7964
0.0,0.517,0.483,0.8555
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.513,0.487,0.4215
0.0,1.0,0.0,0.0
0.0,0.694,0.306,0.4754
0.0,0.0,1.0,0.5719
0.0,1.0,0.0,0.0
0.0,0.754,0.246,0.9805
0.0,0.0,1.0,0.4404
0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.6249
0.0,0.45,0.55,0.9675
0.0,0.364,0.636,0.7906
0.0,0.407,0.593,0.6556
0.0,0.597,0.403,0.6597
0.0,0.0,1.0,0.4588
0.0,0.548,0.452,0.8718
0.0,0.357,0.643,0.802
0.0,0.477,0.523,0.659
0.0,0.0,1.0,0.4215
0.0,0.385,0.615,0.4927
0.0,0.278,0.722,0.8309
0.0,0.339,0.661,0.5994
0.0,0.263,0.737,0.4215
0.0,0.769,0.231,0.5994
0.0,0.913,0.087,0.2023
0.073,0.927,0.0,-0.2617
0.0,1.0,0.0,0.0
0.0,0.192,0.808,0.6369
0.0,0.667,0.333,0.8402
0.0,1.0,0.0,0.0
0.0,0.192,0.808,0.6369
0.0,0.547,0.453,0.7003
0.0,0.528,0.472,0.9349
0.0,0.302,0.698,0.931
0.0,0.0,1.0,0.6249
0.0,0.63,0.37,0.875
0.146,0.638,0.216,0.1082
0.0,0.256,0.744,0.4404
0.0,0.61,0.39,0.9595
0.0,0.382,0.618,0.8442
0.0,0.196,0.804,0.6249
0.0,1.0,0.0,0.0
